epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1193.66,0.24877,0.48516,0.16387,0.78296,0,0.98623,0.98875,0.99019,0.85832,0.97833,0.98087,0.98205,0.74971,0.62186,1.90587,0.28902,1.19686,0,0.000917245,0.000917245,0.000917245
29,1235.29,0.23939,0.46145,0.16048,0.78067,0,0.98626,0.98877,0.98995,0.85569,0.97696,0.97981,0.98054,0.7468,0.61836,1.97572,0.28979,1.20141,0,0.00091418,0.00091418,0.00091418
30,1276.75,0.23861,0.45792,0.15986,0.77907,0,0.98737,0.98829,0.98988,0.85469,0.97967,0.98032,0.98231,0.74512,0.6233,1.97618,0.2922,1.20558,0,0.000911115,0.000911115,0.000911115
31,1318.27,0.24611,0.47302,0.1622,0.78123,0,0.98664,0.98879,0.98988,0.85502,0.9791,0.98117,0.98198,0.74959,0.62646,1.87631,0.28961,1.20034,0,0.00090805,0.00090805,0.00090805
32,1359.84,0.24594,0.46983,0.16295,0.78173,0,0.98647,0.98774,0.99029,0.85671,0.97967,0.98102,0.98364,0.75067,0.62187,1.95952,0.28942,1.20139,0,0.000904985,0.000904985,0.000904985
33,1401.23,0.24037,0.45786,0.16023,0.78095,0,0.9863,0.9884,0.98956,0.85766,0.9787,0.9808,0.98158,0.74964,0.61757,1.91522,0.28745,1.19688,0,0.00090192,0.00090192,0.00090192
34,1442.67,0.24459,0.47187,0.16285,0.782,0,0.98659,0.98896,0.98976,0.85826,0.9789,0.98124,0.98176,0.74761,0.61553,1.94379,0.28612,1.18938,0,0.000898854,0.000898854,0.000898854
35,1484.11,0.24286,0.46426,0.16128,0.78064,0,0.98647,0.9887,0.99023,0.85784,0.97946,0.98156,0.98298,0.75072,0.61756,1.90295,0.28768,1.1924,0,0.000895789,0.000895789,0.000895789
36,1525.52,0.23801,0.45949,0.16031,0.77985,0,0.98475,0.98967,0.99006,0.8559,0.9775,0.98235,0.98228,0.7523,0.62015,1.95096,0.28765,1.19793,0,0.000892724,0.000892724,0.000892724
37,1566.91,0.25501,0.48297,0.16571,0.78634,0,0.98511,0.98824,0.98977,0.85298,0.978,0.98081,0.98124,0.74934,0.62702,1.94643,0.29182,1.19088,0,0.000889659,0.000889659,0.000889659
38,1608.24,0.24276,0.46241,0.16153,0.78143,0,0.98624,0.9883,0.99028,0.85801,0.9793,0.98112,0.98285,0.75185,0.61789,1.93608,0.28609,1.19814,0,0.000886594,0.000886594,0.000886594
39,1649.79,0.24201,0.4644,0.16067,0.782,0,0.98629,0.98925,0.99008,0.8559,0.97849,0.98142,0.98232,0.74848,0.61893,1.99406,0.28783,1.19677,0,0.000883529,0.000883529,0.000883529
40,1691.2,0.2378,0.45584,0.15906,0.77873,0,0.98587,0.98812,0.98975,0.85808,0.97817,0.98031,0.98171,0.75373,0.61488,1.96168,0.28217,1.19312,0,0.000880464,0.000880464,0.000880464
41,1733.33,0.2418,0.45771,0.16072,0.77999,0,0.98634,0.98964,0.98995,0.85546,0.97845,0.98171,0.98265,0.74761,0.62621,1.99736,0.28404,1.20482,0,0.000877399,0.000877399,0.000877399
42,1774.78,0.23416,0.45021,0.15628,0.77995,0,0.9864,0.98918,0.9901,0.85882,0.97917,0.98186,0.9827,0.75266,0.61348,1.96826,0.28302,1.20362,0,0.000874334,0.000874334,0.000874334
43,1816.31,0.23463,0.45151,0.15766,0.77885,0,0.98627,0.9891,0.98965,0.85756,0.97787,0.98064,0.98132,0.75185,0.61719,1.97894,0.28455,1.20411,0,0.000871269,0.000871269,0.000871269
44,1857.75,0.23166,0.44637,0.15654,0.77903,0,0.9869,0.98831,0.99022,0.85705,0.97957,0.98082,0.98295,0.74838,0.62193,1.98033,0.28515,1.21522,0,0.000868204,0.000868204,0.000868204
45,1899.18,0.2399,0.46485,0.15932,0.78146,0,0.98722,0.98899,0.99023,0.85472,0.98021,0.982,0.98368,0.74726,0.64069,1.98903,0.29103,1.21795,0,0.000865139,0.000865139,0.000865139
46,1940.54,0.24149,0.46026,0.16,0.78036,0,0.98538,0.98909,0.99005,0.8581,0.97873,0.98145,0.98302,0.7537,0.62089,1.98131,0.28545,1.20713,0,0.000862074,0.000862074,0.000862074
47,1982.77,0.23355,0.45054,0.15801,0.77839,0,0.98588,0.98828,0.98993,0.85649,0.97914,0.98117,0.98277,0.74738,0.62649,2.00566,0.28693,1.2113,0,0.000859009,0.000859009,0.000859009
48,2024.25,0.23268,0.45089,0.15727,0.77765,0,0.98608,0.98846,0.98997,0.85674,0.97903,0.98145,0.98286,0.75159,0.62083,1.97159,0.28283,1.21343,0,0.000855944,0.000855944,0.000855944
49,2065.71,0.23434,0.45552,0.15732,0.77934,0,0.98589,0.9885,0.99021,0.85436,0.97872,0.98117,0.9827,0.74886,0.62876,1.97002,0.28678,1.20757,0,0.000852879,0.000852879,0.000852879
50,2107.2,0.25979,0.48928,0.16586,0.78677,0,0.98558,0.98843,0.9899,0.85636,0.97879,0.98134,0.98236,0.75106,0.6262,1.88268,0.28486,1.19176,0,0.000849814,0.000849814,0.000849814
51,2148.71,0.25236,0.4789,0.16251,0.78316,0,0.9859,0.98905,0.98952,0.85433,0.97855,0.98141,0.98181,0.74738,0.62602,1.8958,0.28477,1.1954,0,0.000846749,0.000846749,0.000846749
52,2190.12,0.23672,0.4497,0.15653,0.77933,0,0.98582,0.98884,0.98979,0.85855,0.97883,0.98177,0.98236,0.75169,0.60796,1.93345,0.28127,1.19078,0,0.000843684,0.000843684,0.000843684
53,2231.76,0.23149,0.4474,0.15511,0.77903,0,0.98579,0.98863,0.99007,0.85971,0.97929,0.98166,0.98287,0.75233,0.61444,1.95746,0.28189,1.19717,0,0.000840619,0.000840619,0.000840619
54,2273.94,0.23659,0.45405,0.15775,0.78037,0,0.98659,0.98825,0.99013,0.85708,0.97972,0.98147,0.9829,0.74885,0.61483,1.92475,0.28263,1.19783,0,0.000837554,0.000837554,0.000837554
55,2315.46,0.23934,0.45191,0.15956,0.77918,0,0.9864,0.98863,0.98988,0.85725,0.98008,0.98218,0.98332,0.75315,0.61298,1.94995,0.28262,1.19674,0,0.000834489,0.000834489,0.000834489
56,2356.87,0.23379,0.4468,0.15739,0.77937,0,0.98711,0.98865,0.98986,0.85844,0.98024,0.98177,0.98243,0.75159,0.61463,1.96362,0.28061,1.20783,0,0.000831424,0.000831424,0.000831424
57,2398.4,0.23233,0.44496,0.15678,0.77825,0,0.98597,0.98874,0.98985,0.85969,0.97925,0.98192,0.98314,0.75266,0.61424,2.00738,0.27965,1.20684,0,0.000828359,0.000828359,0.000828359
58,2440.74,0.23216,0.4467,0.15628,0.77812,0,0.98635,0.98837,0.98964,0.86028,0.97883,0.98102,0.98244,0.75511,0.60579,1.9462,0.27789,1.19814,0,0.000825294,0.000825294,0.000825294
59,2482.89,0.23236,0.4551,0.15623,0.78081,0,0.98641,0.988,0.98984,0.85785,0.97993,0.98133,0.98297,0.75088,0.60883,2.00876,0.28086,1.20672,0,0.000822229,0.000822229,0.000822229
60,2524.38,0.24093,0.46083,0.15913,0.78119,0,0.98526,0.98891,0.99004,0.85774,0.97821,0.98184,0.98278,0.75461,0.6103,1.94843,0.28101,1.20227,0,0.000819164,0.000819164,0.000819164
61,2565.76,0.23524,0.45602,0.15658,0.78078,0,0.98683,0.98901,0.98999,0.85914,0.97958,0.98169,0.98274,0.75062,0.6136,1.99342,0.27854,1.19845,0,0.000816099,0.000816099,0.000816099
62,2607.19,0.23373,0.45031,0.15696,0.77859,0,0.98618,0.98841,0.98996,0.85679,0.97793,0.97997,0.98114,0.74929,0.618,1.95208,0.28525,1.20673,0,0.000813034,0.000813034,0.000813034
63,2648.56,0.23628,0.46049,0.15749,0.77933,0,0.98636,0.98828,0.98983,0.8586,0.98011,0.98203,0.98339,0.75548,0.61694,1.90167,0.28536,1.20179,0,0.000809969,0.000809969,0.000809969
64,2690.05,0.23861,0.45893,0.15859,0.78087,0,0.98547,0.98842,0.98998,0.86043,0.978,0.98112,0.98219,0.75372,0.61016,1.92846,0.28185,1.19806,0,0.000806904,0.000806904,0.000806904
